"ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","NUF2","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","NDC80","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T"
-0.652125,0.804833,-0.54425,-2.190875,-0.001933,0.149125,0.14175,1.866625,0.2871,-0.074,0,2.4,0,0.1195,-1.091667,-0.5249,2.54825,-4.841667,0.43725,1.867,-0.91575,-0.413812,-1.456833,1.157,-0.0965,0.077846,-1.127357,-1.4894,-1.001,-0.689625,-0.631,-1.094333,-1.285,-1.2925,-1.057125,0.395,-0.221875,-0.331187,-1.2139,1.401818,-2.311333,-1.537125,0.059,0.29425,-1.76275,-0.7044,1.4245,0.181,0.047125,0.461833
-0.339875,-1.708333,-0.5245,0.602,-1.6044,-0.323875,-1.27775,-1.245,-0.7676,-1.725167,-2.329125,-2.30575,-1.680364,-2.012833,0.375167,-1.3035,-0.398625,0.744167,-1.512,-0.137167,0.48675,-1.348125,-0.903,-0.6247,-1.20925,-1.224231,-0.193857,-0.3371,-0.8525,1.005125,-0.106167,-1.298778,-1.4775,-1.42725,-0.381875,0.337167,-1.149875,-1.263188,1.8914,-1.462455,2.823333,-1.185,-1.058667,-1.304125,-2.96425,0.4918,0.529125,-1.050375,-1.3615,-1.273333
-0.028,-2.352,0.224,0.486625,-2.410867,0.0605,-2.007,-0.739125,-1.5173,-2.146833,-3.191375,1.8455,-2.967455,-2.726833,-0.673667,2.4243,-0.318375,-0.211917,-2.0275,-0.237167,-2.0845,2.26325,-0.73,0.2084,-2.0995,-2.310923,3.2355,3.2957,3.2035,-0.7725,0.077333,-2.550778,4.2735,-3.0805,-1.498875,-3.820333,-1.339375,1.615938,-1.6632,-0.957182,-0.700167,-0.077625,-1.743667,-2.6665,4.9655,-0.7259,-0.086875,-1.781875,-2.127375,-2.447667
-0.63775,0.422,0.11225,-1.296625,0.976867,0.882375,1.02875,1.2315,0.5324,3.091333,1.657,-1.72725,0.865636,1.371,0.070667,-1.778,3.684625,-0.077917,1.372,0.284,0.046875,-0.389937,0.5015,2.18,0.521,0.752231,-1.004357,-0.9911,-1.0316,-1.05925,0.237333,0.946556,-0.81975,1.185,0.635375,0.607833,1.416,-0.812313,1.9942,1.230455,-3.234167,-0.69575,1.029833,1.158,-3.0205,1.1261,0.395125,0.86,1.495625,1.197667
0.210875,-0.131167,-0.36125,-0.898875,-0.073533,0.32025,-0.36675,1.30625,0.1282,-0.3955,-0.454,1.93575,0.078182,-0.055167,-0.537333,1.1056,-1.206125,-3.459167,-0.15425,0.116167,-2.793125,1.011438,-1.110167,-0.3206,0.2285,0.115231,1.632286,0.8857,1.9528,-0.415143,0.6015,0.207889,3.11625,-0.20725,-2.198875,-0.755167,0.60025,0.151625,-2.4381,0.743182,-1.485833,0.271875,0.052667,-0.2575,3.76625,-2.2614,0.5765,-0.308875,-0.0795,-1.010167
-0.6235,0.708833,0.94075,1.204,1.003133,-1.00475,0.71775,0.183375,-0.0639,-0.061833,0.2525,-0.78025,0.391818,1.057167,1.145333,-0.3665,-0.716125,0.255083,-0.41175,0.610333,-0.120875,0.51925,0.257333,-0.3938,0.0575,0.201615,0.737143,0.7399,0.3752,0.591,3.178833,0.476889,0.6635,1.455,-0.0025,0.275333,0.147125,0.262,-0.7298,-0.194909,0.736833,-1.78525,0.931667,-1.15425,-0.221375,1.3767,-1.285,-0.72775,0.970125,-0.212333
-0.39325,-0.828,0.456,-0.622625,-0.526933,0.29425,-0.2905,-0.06225,-1.0689,0.098,-0.8075,-1.169,0.344,-0.264,0.5895,-0.5396,0.422625,2.194,-0.14025,-0.609333,1.1335,-0.519813,0.6565,0.1858,-1.3485,-1.485692,0.589714,-0.1948,0.0056,-0.149875,-0.193417,-0.553111,-0.788,0.15025,1.452125,0.488667,-0.400625,-0.604938,2.8456,-0.838818,-0.3495,0.865875,-0.761333,-0.0845,0.28675,2.4884,-0.005625,-0.76825,-0.460625,-0.8375
0.073,-0.155833,-1.39275,-0.298375,0.998,-0.973625,0.20525,1.527125,0.5421,1.365333,1.33625,-1.9055,1.528636,0.481667,-0.412167,2.1268,-0.006625,-1.530833,1.6635,2.321333,0.19675,-1.367875,1.036667,0.6066,1.1215,0.448,-1.626,-2.3675,-2.1091,0.246667,0.017833,1.099111,-2.28675,1.381,0.21325,0.2395,1.28675,-1.855563,-2.6307,1.141364,-3.253,3.064,0.081833,1.975875,-2.932125,-1.1374,0.307875,0.444125,1.303125,0.521167
-0.645625,1.444,0.0045,-1.101125,2.359267,1.353875,1.11175,1.0555,1.3893,2.907167,1.44425,-2.28225,1.022091,0.953667,0.433,-1.2025,1.85975,-0.99325,0.82075,-0.119,0.074,-1.011062,-0.302,1.7053,1.27825,1.283769,-1.016571,-1.4193,-1.6487,-2.552125,-0.517,0.664444,-1.40725,0.81375,0.80075,-0.309,2.0225,-1.243875,-0.1971,1.697091,-2.988833,-0.2545,1.282833,1.414375,-1.83425,-0.9404,-0.247875,1.28425,1.431375,1.136667
0.640125,-0.406833,-0.206,-0.198,-1.039,0.08375,0.24225,-0.18775,0.0086,0.308167,-1.164125,1.307,-0.723182,-1.233,-0.181167,1.275,0.652625,-1.140833,-0.55625,0.063667,-0.117,-0.184875,-0.038333,0.0493,-0.91875,-0.436231,2.024,2.2408,2.578,0.264875,-1.006667,-0.690222,3.39425,-1.06175,-0.652,-0.8725,-0.080875,0.119938,0.4455,-0.648909,2.623167,0.155,-0.199,-0.292125,3.4315,-0.4558,2.19525,-0.884625,-0.316375,-0.854667
